iter	MultiClass
0	1.876290695
1	1.765602285
2	1.627870554
3	1.530715844
4	1.45948597
5	1.392324248
6	1.320482152
7	1.266690097
8	1.217213271
9	1.16554682
10	1.118997625
11	1.094442514
12	1.061379229
13	1.032992153
14	1.010005123
15	0.9862696924
16	0.963329451
17	0.9441902721
18	0.9191759369
19	0.9010432171
20	0.8858252216
21	0.8677965962
22	0.8516219578
23	0.8348827033
24	0.8262938185
25	0.812766767
26	0.8005818584
27	0.7883989251
28	0.7770092915
29	0.7664385398
30	0.7561972429
31	0.7479279602
32	0.736987727
33	0.7268593563
34	0.7189503277
35	0.7116891728
36	0.7077196071
37	0.7010185218
38	0.695621085
39	0.689738817
40	0.6861703612
41	0.6789945902
42	0.6730998955
43	0.6666958955
44	0.6623258045
45	0.6568679356
46	0.6532932023
47	0.648478483
48	0.6438085478
49	0.6402030428
50	0.6359969869
51	0.6307729983
52	0.6265956191
53	0.6225762404
54	0.6189221636
55	0.6143963159
56	0.611244057
57	0.6085669449
58	0.6047664741
59	0.6010982941
60	0.5979149313
61	0.5949977173
62	0.5907781294
63	0.5880180535
64	0.5837109752
65	0.5815274527
66	0.579069615
67	0.5773492561
68	0.5739002679
69	0.5722201341
70	0.5692638218
71	0.5677296684
72	0.5657214567
73	0.5624362681
74	0.5592989241
75	0.5565694975
76	0.5547947635
77	0.5518906781
78	0.5485623459
79	0.5468565425
80	0.5440334073
81	0.5416540019
82	0.5397151501
83	0.5377472788
84	0.5357853829
85	0.5338449557
86	0.53114686
87	0.5295674186
88	0.5272926938
89	0.5254528648
90	0.5235670261
91	0.5206722772
92	0.5184566543
93	0.5169663912
94	0.5149990176
95	0.5134596352
96	0.5112739095
97	0.5098527953
98	0.5085766244
99	0.5070048706
100	0.5053562351
101	0.5039427917
102	0.5021828247
103	0.5002561611
104	0.4986648428
105	0.4969865524
106	0.4959543774
107	0.4948025754
108	0.4927799022
109	0.4907523142
110	0.4893691373
111	0.4860279808
112	0.4846732019
113	0.4825977257
114	0.4802893308
115	0.4787708623
116	0.477352463
117	0.4763022132
118	0.4755342785
119	0.4740064454
120	0.4726158979
121	0.4707304466
122	0.4698290135
123	0.468469524
124	0.467167525
125	0.465160181
126	0.4627853566
127	0.4614616954
128	0.4602535551
129	0.4572803438
130	0.455876161
131	0.4542007565
132	0.452295906
133	0.4510783981
134	0.4503012203
135	0.4492897672
136	0.448227955
137	0.4469685285
138	0.4459111629
139	0.4445877326
140	0.4433124621
141	0.4416204781
142	0.440444699
143	0.4387936815
144	0.4374213271
145	0.4363177946
146	0.4356054343
147	0.4346556783
148	0.4336140406
149	0.4323686304
150	0.4306246761
151	0.4295247192
152	0.4276044242
153	0.4263808746
154	0.4259646655
155	0.4249291705
156	0.4231473174
157	0.4219759164
158	0.4210494794
159	0.4187639714
160	0.4177861892
161	0.4163237937
162	0.4149085822
163	0.4137267879
164	0.4122733505
165	0.4112593635
166	0.4103551427
167	0.4090621766
168	0.4081275699
169	0.407243358
170	0.4068504353
171	0.405776895
172	0.404448933
173	0.4033769346
174	0.4021426936
175	0.4016612936
176	0.4007660894
177	0.3997740199
178	0.3987343096
179	0.3974296777
180	0.3964082247
181	0.395534015
182	0.3944135353
183	0.3934962294
184	0.3922811196
185	0.3915543639
186	0.390340358
187	0.389692087
188	0.3888761324
189	0.3883910333
190	0.3876863673
191	0.3870152177
192	0.3862802006
193	0.3853091133
194	0.3845118657
195	0.3837248005
196	0.3831794382
197	0.3825780941
198	0.3818442667
199	0.3810478929
200	0.3798545722
201	0.378295795
202	0.3777909509
203	0.3770243288
204	0.3760377345
205	0.3750029843
206	0.3740971432
207	0.3734688733
208	0.3721234667
209	0.3713366273
210	0.3708122181
211	0.3687147959
212	0.3674794246
213	0.3664305283
214	0.3655205176
215	0.3646185328
216	0.3637023826
217	0.3625912895
218	0.3620025778
219	0.3609948505
220	0.3605182419
221	0.3595954868
222	0.3587265756
223	0.3582095191
224	0.357619715
225	0.3567951599
226	0.3562504062
227	0.3554363939
228	0.354677343
229	0.3538113113
230	0.352853335
231	0.3519324073
232	0.351182117
233	0.3504170235
234	0.3498675002
235	0.3492339201
236	0.3483360289
237	0.3474659282
238	0.3467029978
239	0.3464849071
240	0.3457508788
241	0.3448488447
242	0.3439626775
243	0.3432028844
244	0.3426420109
245	0.3420171222
246	0.3409489093
247	0.340174732
248	0.3391736542
249	0.3383138944
250	0.3374475139
251	0.3364900486
252	0.3355643449
253	0.3351893098
254	0.3347918672
255	0.3342083393
256	0.333765757
257	0.3331975878
258	0.3328086767
259	0.3321319779
260	0.3316530065
261	0.330795673
262	0.3301166001
263	0.3291211493
264	0.3289294623
265	0.3281675945
266	0.3268342881
267	0.326395244
268	0.3257442031
269	0.3251418656
270	0.324380587
271	0.3236978877
272	0.3230169452
273	0.3225139234
274	0.322003581
275	0.3212170141
276	0.320943934
277	0.3200442168
278	0.3193644178
279	0.318628722
280	0.3181060843
281	0.3173411482
282	0.3166517495
283	0.3159667379
284	0.3151217043
285	0.3145181635
286	0.313926937
287	0.3133379057
288	0.3128981423
289	0.3124335913
290	0.3119571358
291	0.3113031327
292	0.310909257
293	0.3102621874
294	0.3097165323
295	0.3089393688
296	0.3075858252
297	0.3069275211
298	0.3062255442
299	0.3056693413
300	0.3052151872
301	0.3046176157
302	0.3041033481
303	0.303723045
304	0.3030688741
305	0.3022126706
306	0.3016577672
307	0.3009906523
308	0.3008063298
309	0.3001839804
310	0.2993149156
311	0.2986940814
312	0.2981290289
313	0.2974210903
314	0.2968564391
315	0.2962220013
316	0.2955448575
317	0.2950442358
318	0.2946993823
319	0.2942448221
320	0.2937051932
321	0.2931405176
322	0.2925046716
323	0.2921009434
324	0.2917512388
325	0.2912124661
326	0.290813787
327	0.2900383605
328	0.2894169284
329	0.2888541333
330	0.2882814041
331	0.2876242509
332	0.2871397614
333	0.2866455959
334	0.286019562
335	0.2854486514
336	0.284825072
337	0.2843368008
338	0.2838934793
339	0.2832293067
340	0.2827489381
341	0.2823472344
342	0.2814548614
343	0.2809446123
344	0.2802548912
345	0.2798437379
346	0.2795208238
347	0.2787288
348	0.2780075193
349	0.2774500155
350	0.2771627392
351	0.2766838938
352	0.2760420265
353	0.2754427045
354	0.2749560434
355	0.27460227
356	0.2742412575
357	0.2736231007
358	0.2731308583
359	0.2728079595
360	0.2722484704
361	0.2717028267
362	0.2713125211
363	0.2708408088
364	0.2702831657
365	0.2697375201
366	0.2691463673
367	0.2687905734
368	0.2684534057
369	0.2681090529
370	0.2677345953
371	0.2671369653
372	0.266622471
373	0.2661161292
374	0.265725399
375	0.2652008822
376	0.2647184005
377	0.2644211099
378	0.2641004112
379	0.2637093461
380	0.2634664029
381	0.2629979875
382	0.2626861115
383	0.262139496
384	0.2619358362
385	0.2616704731
386	0.2613594435
387	0.2602696925
388	0.2596360315
389	0.2592487177
390	0.2587686465
391	0.2582494606
392	0.257867895
393	0.2574094283
394	0.2568347784
395	0.2563529334
396	0.2559998375
397	0.2554542294
398	0.255075907
399	0.2548819114
400	0.254405107
401	0.2539667411
402	0.2536438664
403	0.2531705176
404	0.252817893
405	0.2525155832
406	0.2522275555
407	0.2518572572
408	0.2513897616
409	0.2509835226
410	0.2503537353
411	0.2500301804
412	0.2496349543
413	0.2492572498
414	0.2488792022
415	0.2484868584
416	0.2478505136
417	0.2475193626
418	0.2472685797
419	0.2467353355
420	0.2462262774
421	0.2458815006
422	0.2456306872
423	0.244930868
424	0.2446191624
425	0.2441711685
426	0.2435679219
427	0.2433700716
428	0.2428260885
429	0.2426416705
430	0.242313187
431	0.2418859376
432	0.2415503009
433	0.2410450359
434	0.2401455142
435	0.2397883485
436	0.2393692394
437	0.2387980365
438	0.2382851655
439	0.2377170337
440	0.2373964086
441	0.2369285728
442	0.2364730713
443	0.2360577673
444	0.2357167726
445	0.2352209605
446	0.2347670132
447	0.2343230628
448	0.2339931458
449	0.2337575186
450	0.2334926017
451	0.2330101435
452	0.2326279962
453	0.2320745417
454	0.2318752406
455	0.2315055322
456	0.2310664382
457	0.2307574793
458	0.2303839306
459	0.2301557676
460	0.2297312479
461	0.2294343726
462	0.2287161739
463	0.2282607482
464	0.2278698578
465	0.2276062068
466	0.2273067817
467	0.227174718
468	0.226596479
469	0.2262249215
470	0.2258316682
471	0.2255728519
472	0.2251536069
473	0.2248261048
474	0.224487842
475	0.2241488955
476	0.2236831299
477	0.223259973
478	0.2229215088
479	0.2224687871
480	0.2220488418
481	0.2217472042
482	0.2214319404
483	0.2213306347
484	0.2208331584
485	0.2204655822
486	0.2202339727
