iter	Passed	Remaining
0	73	73212
1	92	46120
2	116	38755
3	136	33944
4	158	31459
5	178	29596
6	206	29242
7	223	27697
8	249	27445
9	266	26414
10	289	26002
11	312	25725
12	333	25323
13	356	25108
14	393	25860
15	411	25298
16	433	25075
17	471	25718
18	490	25346
19	520	25509
20	549	25609
21	568	25261
22	599	25453
23	632	25724
24	653	25488
25	673	25247
26	695	25074
27	715	24826
28	739	24760
29	759	24544
30	784	24515
31	804	24343
32	844	24733
33	861	24480
34	881	24298
35	900	24126
36	922	24002
37	945	23942
38	968	23865
39	987	23708
40	1010	23647
41	1030	23505
42	1050	23389
43	1072	23304
44	1091	23160
45	1115	23144
46	1135	23015
47	1160	23011
48	1178	22874
49	1204	22884
50	1225	22811
51	1252	22827
52	1275	22787
53	1295	22699
54	1318	22653
55	1337	22547
56	1358	22480
57	1379	22397
58	1398	22311
59	1419	22245
60	1442	22212
61	1463	22138
62	1487	22128
63	1506	22029
64	1531	22036
65	1549	21929
66	1571	21877
67	1592	21829
68	1615	21801
69	1634	21716
70	1656	21679
71	1683	21693
72	1709	21710
73	1733	21693
74	1751	21602
75	1781	21661
76	1800	21585
77	1826	21592
78	1855	21635
79	1874	21561
80	1911	21691
81	1931	21628
82	1950	21554
83	1977	21566
84	1995	21482
85	2027	21546
86	2052	21535
87	2088	21641
88	2109	21591
89	2135	21589
90	2156	21544
91	2180	21523
92	2201	21473
93	2223	21429
94	2244	21378
95	2270	21381
96	2290	21321
97	2316	21320
98	2334	21244
99	2355	21199
100	2376	21149
101	2397	21105
102	2419	21071
103	2440	21027
104	2466	21020
105	2487	20981
106	2510	20953
107	2531	20908
108	2551	20855
109	2578	20860
110	2596	20794
111	2618	20763
112	2638	20714
113	2664	20710
114	2685	20666
115	2706	20626
116	2726	20576
117	2748	20540
118	2769	20502
119	2793	20488
120	2824	20515
121	2845	20474
122	2863	20420
123	2886	20390
124	2906	20344
125	2930	20325
126	2950	20280
127	2972	20249
128	2995	20222
129	3023	20231
130	3051	20241
131	3073	20207
132	3092	20160
133	3111	20109
134	3140	20121
135	3175	20171
136	3195	20127
137	3228	20164
138	3259	20190
139	3291	20216
140	3312	20179
141	3333	20144
142	3354	20101
143	3381	20100
144	3399	20043
145	3423	20024
146	3445	19995
147	3466	19956
148	3485	19909
149	3509	19887
150	3527	19835
151	3551	19814
152	3572	19777
153	3595	19753
154	3615	19709
155	3636	19673
156	3657	19637
157	3681	19620
158	3701	19576
159	3722	19541
160	3744	19513
161	3768	19491
162	3788	19452
163	3810	19422
164	3834	19403
165	3855	19372
166	3876	19334
167	3895	19291
168	3918	19268
169	3936	19220
170	3956	19182
171	3979	19157
172	3999	19117
173	4022	19095
174	4042	19059
175	4064	19029
176	4084	18990
177	4104	18955
178	4128	18935
179	4151	18910
180	4174	18888
181	4193	18848
182	4215	18820
